sentiment,text
negative,@united computers are down but you stopped giving updates and took my flight info off the app. That's just ridiculous keep people updated!
negative,"@united Soooo, it's been 15 days and you've offered no response. So I assume poor treatment by gate agents is the norm now?"
positive,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.
negative,@united Calls to 800# resulted in 2hrs of hold time &amp; 2day wait to check suspect code share fare. Nothing investigated—my time wasted (2/2)
negative,"@united It's taken ~3 weeks for Cust Care to respond to Case #8477733, requesting a refund for wi-fi not working. Where can I get an update?"
positive,@united I appreciate your efforts getting me home!
negative,@united That's correct—I've spent hours trying to book online only to receive an error when clicking final purchase button. (1/2)
negative,@united Today was not your finest. All could have been prevented by one gate agent advising 200 passengers.
negative,@united  what is the real deal with the delay on flight UA 1032 from Denver to Vegas?
negative,@united UA63 from Madrid arrived no agent mass confusion we sent to and fro by 3 UA employees. MaryJo was rude and unhelpful.
negative,@united system failure again = bad trend.  Software projects are like flying an airplane; there's no such thing as an emergency takeoff.
negative,@united lots of reports of system failures delaying flights over the last week. Currently sitting on the tarmac at OGG for over an hour.
neutral,"@united rebooting Chicago dispatch system, need @pivotalcf as I'm tired of sitting on planes"
positive,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while.."
negative,"@united http://t.co/hj5kq82Chn, however, is completely under your control—the price was and still is displayed on http://t.co/hj5kq82Chn."
neutral,@united the aircraft closest to gate was for the other flight and the one closest to our gate was going to Chicago.
negative,@united can you tell me how to file a claim for clothing that had to be purchased?
negative,@united comically on the return flight from ASE there were two United flights boarding at adjacent gates and not clear which plane to board
negative,@united GRK13575M is the file reference
negative,@united we would...how do I contact you to discuss? A few poor experiences with customer service but would give it a shot!
negative,"@united UA 746. Pacific Rim and Date Night cut out. Not constantly or randomly, but one spot, repeatably."
negative,@united Been trying since 1230 to file a report.
negative,@united I send an email about my bad experience and you send back a generic response.  Yet another reason why I'll never fly with you again.
neutral,@united My mom left her Kindle on flight 1544 today. Burgundy case with a light. Seat 27D. Did anyone find it?
negative,@united here is the ticket # 0162424965446 please refund my unnecessary upgrade fee
negative,"@united is horrible!! They lost our carseat and expect us to use a loner carseat, safety regulations say it's illegal to use a used car seat"
positive,@united thank you.
neutral,Decisions Decisions @MandarinJourney @united:  We'd love for you to try our service. We offer status match too. http://t.co/xbQqqbRgVF ^KP”
neutral,Need more info on that! @united: @momsgoodeats We have great amenity kits. PJ's not included. We status match AA. ^KP”
negative,"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness."
neutral,@united Do you have any flights with lie flat seating from STL to PDX around the date of March 5?
negative,"@united He needs to get to home the 24th, they're telling him it'll be the 25th @ night. Is there compensation or anything that can be done?"
negative,“@united: @mllovelace The baggage fee is waived for Premier members. Please see http://t.co/u6Duw27mDE. ^JP” what's the point of membership?
negative,@united wonderful bag claim people - finally have my bag. But why did I catch earlier flight? Original flight just landed. #wastedtime
negative,@united Dmed you. Thank you
positive,@united thanks we'll be in touch!
positive,@united Thanks to Karen Salisbury at IAH for amazing customer service!  Found my daughter's bag lost on UA1516.  Made her day!
negative,"@united 3 days Late Flightr and my bag has not left IAD, United is not helping at all. Everyone tells me a different story"
neutral,"@united @RenoAirport hi, when do direct flights from Houston to Reno begin?  Don't see any days in March?"
neutral,@united like continental's chicken feat fairs
neutral,@united can you assist with current flight status for flt# 1016 out of DFW tomorrow at 6:55am?
positive,@united I left my comment with customer care. Thanks for contacting me.
negative,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.
negative,"@united caught earlier flight to ORD. Gate checked bag, and you've lost it at O'Hare. original flight lands in 20minutes. #frustrating!"
positive,Yes!! Thanks so much!!! 💜“@united: @whitterbug We see you spoke with our Reservations team and they've reinstated the flight. Thanks. ^EY”
positive,"@united captain ""on behalf of the front office, welcome on board."".... Never heard that before. I laughed...hard.  #funnycaptain"
negative,@united Can you please follow for a Dm on a missing bag?
neutral,"@united to be clear on my luggage comment, I am referencing the photo attached. Flight 6232 to JAC http://t.co/PnBajfkmHG"
positive,@united These are great fares!!!!!
negative,@united i left an item on the plane and have been calling non stop and no one has been answering can you please help
positive,@united awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.
negative,@united what's a good number to call to speak with someone about how you can fix what you did to 50 people and their luggage on Saturday?
positive,@United THANK U! Secured room for the night Thx to VERY helpful customer service rep N. Dorns.. I thanked her.. Can u 2? #goodenoughmother
negative,@united where's my damn bag??
negative,@united well someone should tell that to the employees at the Denver baggage claim. Still no bag!!!!
neutral,@united Greetings. UA Club member here. Any idea if I can use the Air Canada Lounge at YVR. Flying UA tomorrow.
neutral,@united how is Mexico not international from the us?
negative,@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared
negative,@united Male agnt in LAS threatens Canadian cust when cust takes pic of him at gate after agents announce can't help rebook. #friendlyskies?
negative,@united @Apollochplayers we just want to go home tonight - why did you Cancelled Flight the last leg of our reserv. w/out our permission??! #PH6RPS
negative,@united  Stressed and rude agents. Overwhelmed by delyd flight LAS-DEN 1657. Yelling at several people. Not pretty. This is #friendlyskies??
negative,@united landed in Boston at 9 last night.  The 15 hours of traveling was rough tho.
negative,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS
neutral,Just sent thank u RT @united: @goodenufmother Please DM your confirmation number if reFlight Booking Problems is needed. Thank you. ^EY
negative,@united has made my no fly list. Other airlines wait when connector Late Flight. Stuck in IAH.
neutral,@United so what’s the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere
negative,"@united also, the mere fact that I have to go online to issue a statement vice calling and talking to some directly is one good example."
positive,@united thank you. I flew into Newark from Vail/Eagle.
negative,@united  i have a weekend of dealing with your company that would say otherwise.
negative,@United now what?!? http://t.co/5hpSqVRjK8 flight was gone when I got off plane! #BusinessTravel #goodenoughmother
negative,"@united the proper response: sorry for your wait, what flight # were you on so we can look into the issue. That's how @Delta would handle."
negative,@united your customer service is terrible! Stood inline 3 hours no flights and 4 hours Late Flightr still no bag#disgutedindenver
neutral,@united please upload the March on-demand entertainment listing on your website! ✈️
negative,@united So you are inadequate by accident?
positive,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3
positive,@united Thank you for responding so quickly with a helpful tool! @dustyob
negative,@united boarding time shows 35 min and your gate agent started at 45. showed up at 4:00 and they had to check bag. http://t.co/zCBJyo6lsN
negative,@united Agent in LAS letting 20 customers know they can't help them rebook delayed flight to DEN #unfriendlyskies http://t.co/QuzVmK2rTR
negative,@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd
negative,@united ...and when that doesn't work...
neutral,"@united did you have seen my message today?? About a mcdonnell Douglas dc 10 model?? I will hear it if you read it, Goodnight now"
negative,@united searched for mileage tickets to BOM couldn't find a single one is saver awards - I see how you play.  Earn miles but can't use them.
negative,"@united flight arrives 30 minutes early, but then have we to wait for an hour for our bags."
negative,@united That's not the issue. The fact that no one even called (despite promises) to confirm the bag's location is.
neutral,@united what's a girl gotta do to get a flight name change when SHE bought one for a mean ex boyfriend and needs a girl's trip stat?!
neutral,@united thank you. We are signed up for notifications. We shall watch and wait! ❄️❄️
negative,@united still waiting to hear back. My wallet was stolen from one of your planes so would appreciate a resolution here
neutral,@united I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.
negative,@united or @flysaa has lost my baggage… heard different things from different employees of @united. @flysaa has said nothing.
negative,"@united cs thinks that miles can repair the damage done, it will be interesting if they travel in @united and exp the worst flight ever!"
neutral,@united I have a 0530 flight out of DFW on Tuesday. How far in advance will you give notice if Cancelled Flightled?
negative,@united I am signed up for notifications. This is the first trip I was not updated on. Not sure why this happened.
positive,@united Thank you. Took care of everything and made it right. That's the experience I'm used to. Opened the app to find flight changed.
negative,@united that is not in line with your responses here. And now I'm waiting until tomorrow morning because all the flights are overbooked.
negative,"@united I took the exact same aircraft in to LAX 3 days ago. It fit, no problem. The agent today told some nonsense about a policy change"
negative,@united your helpful agents in Club helped.  I am just out baggage fees and a night of my life.stop doing business with @SilverAirways
negative,@United never heard of this? http://t.co/QDebyaHqfM
negative,"@SouthwestAir doesn't charge ticket change fees. Do they not incur the same mysterious ""costs"" that you incur, @united?"
negative,@united Exhausted &amp; frustrated! Link to a FB post abt my travel issue https://t.co/LaRKC8vc4s
negative,@united I was denied getting on the plane w/o getting the chance to prove it fits. I'm not a rookie. Read my bio.
positive,@united that's exactly the point. It fits. I'm premier access. Boarding group 2. This was a return ticket. I've been doing this for 15 yrs
negative,@united I've never experienced worst customer service. Placing blame on codeshare partners and not assuming responsibility is unacceptable
negative,@united currently on board so not now. Check in was terrible. Staff rude. Expensive luggage thrown around etc.
negative,"@United fucked up, then voided my ticket, and KEPT MY MONEY.  Not even an apology. I will never fly with your airline again. #UnitedAirlines"
negative,@united has the WORST customer svcs! This Kevin rep at call center must be investigated. My baggage's lost and there's no help but argument!
negative,@united should NOT sell tickets for @SilverAirways on http://t.co/onhXHCO6bK.  has terrible service and UA staff cannot reach Silver
negative,"@united Just got demoted from Gold cuz my hubby got 100% of the PQD, tho there were enuf $ spent for 4 Golds.#spousal.discrimination/angry."
positive,@united Thank you!
neutral,@united When will direct flights from Belfast Intl to Newark resume from their winter break? Thanks.
positive,@united My favorite way to travel! Thank you! http://t.co/vGN2X1ckg0
neutral,"@united yes, after this awful weather it appears I can get home"
negative,@united yes lots. You have terrible customer service at Newark and despite raising a complaint there we were ignored hence the tweet
negative,@united Lovely new plane from LGA to ORD but no power outlets?
negative,"@united but if i tweet the ID number, won't that reveal my home address to anyone on the web?"
negative,@united I filed a delayed bag report on Saturday! my flight was Cancelled Flightled and I never went anywhere!
neutral,@united the person is currently bettween gates 71A and 73 in LAX
negative,@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet
negative,"@united rarely ceases to amaze...for the worse.  i hope this is the last time i ""have"" to fly with you."
neutral,@united thank you for the quick response but I cannot dm you until you follow me as well
negative,@united iCloud it is not there yet -- PLEASE HELP 917 703 1472
neutral,"@united I need the phone number to baggage claim in LAX, my mom left her phone and someone called saying they would put it there but on"
negative,@united I did... no response back
negative,@united this is atrocious customer service.
neutral,"@United will not have to honor absurdly low mistake fares.
http://t.co/2Z3Jv73IlW vía @usatoday"
negative,@united #albanyairport delayed departure to check bags at gate claiming space filled and walk on to open spaces a delay #poorcustomerservice
negative,@united you Cancelled Flighted our flights for no reason &amp; now we have been on the phone for AN HOUR on our vacation. Why?
negative,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology
neutral,"@united thanks! It's 35K miles from RTB to Europe, to do a multiple destination so we could stop over in US on way/way back- mileage diff?"
negative,@united of course I did. The bag should be here by now :( #frustrated
negative,@united you are the worst. I will avoid you like the plague.
negative,@united is the worst airline in the world.
negative,@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.
negative,@united Premier Gold desk changes flight. Waives fees. Gives me wrong flight. Now Jana Acosta in Salt Lake refuses the same service. Angry.
negative,"@united I will give you one thing, you are consistent but unfortunately you are consistent at not doing your job well #AlwaysDelayedOnUnited"
negative,@united I will but right now I'm to angry
negative,@united first time flying with United. Also last time. #terrible back to @VirginAtlantic for me. #branson #virginatlantic #UnitedAirlines
negative,@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail
negative,@united the least you could do is offer me a ticket in coach instead of just Cancelled Flighting my reservation because of your glitch!!! #notfair
negative,"@united I'm saying I made the flight but with poor/non-communication, unaccounted for lost time &amp; lots of frustrated flyers standing around"
negative,@united I think DM would be better
negative,@United gate announcement states delay due to maintenance yet app says Late Flight arriving aircraft  tell the truth! @unfriendly
negative,@united you are easily the worst company I have ever experienced. You have lost someone's personal possessions &amp; you couldn't care less!....
negative,@united how can your app show arriving aircraft is early but departing flight is delayed due to Late Flight arriving aircraft? @unfriendly
negative,@united already did that at the airport and 12 hrs Late Flightr its still not here! you guys are really killing me today. trying to stay positive..
negative,@united once united's service levels reaches those of Etihad or lets be more realistically Lufthansa then ill consider it again
negative,@united really?  Someone called in sick and then someone FORGOT to call a replacement?!  Now an hour Late Flight to take off. #theworst
negative,@united Asked Flight attendant what typical compensation would be &amp; says we might get free TV. #Unacceptable
neutral,@united done
neutral,"@united Thank you, ^JH, appreciate the prompt responses--me and other passengers will be doing so."
negative,@united has been such a disappointment today. Simply put. Rather unpleased with things currently. Flight delayed; cant wait to just get home
negative,"@united During the same round trip, my NON-English speaking friend was stranded TWICE for 12+ hours each time! Most staff members were rude."
negative,"@united  found a group of people who actually hates people more than ISIS, thats right United Airlines."
negative,"@united Nope. Walked up &amp; down the ORF terminal, &amp; not a United agent to be found. Showed up @ last minute to board us. Many panicked people"
positive,@united thank you
negative,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.
negative,"@united I'm trying to get to my final destination, we need compensation. Just about 2hrs of personal time wasted."
negative,@united that guy really has no customer service clue.Could have spent effort clearing bins for rollerboards instead of art projects in mine!
positive,@united he has no priority and Iove it
positive,@united Pleased to be a Premier Platinum
negative,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.
negative,"@united @campilley hahaha. If they weren't an American company, i would say this was great sarcasm!!"
negative,@united i think he actually did not like your screen  @campilley 😃😃😃
negative,@united Apparently they are asking 20 people to off board the plane--how can such a big miscalculation be made?!
negative,@united It's a shame choosing #United may be the difference between reuniting with aging friends and never seeing them again #PoorService
neutral,"@united hi guys, do you have a general enquires email address please? Thanks David."
negative,@united Just checking in again - what is the status of our claim.   It is going on 2 months with no attention to this?   We are very upset.
negative,@united my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY. Can you help?
negative,@united #UnitedAirlines Pls Fix #AspenBaggageFail issues. Had to pay my own way to #Aspen after flight Cancelled Flight. Left us in the cold in DEN.
negative,@united Read my bio. See who I work with. I have NEVER encountered this with your airline before. Disappointed is an understatement.
negative,@united Does customer care have email or a phone rep that I can speak with? We had so many issues they can't be placed in 2000 characters?
positive,Thank you “@united: @TRUU_Tall I can certainly take a look. Please follow and DM me your confirmation number for assistance. ^JH”
negative,@united In the process of recovering their car rental - condo rental $ in Florida. They called #United for an alternate flight #NOANSWER
neutral,"@united I am buying 2 yo own seat on 3 legs of intl trip, car seat? Required? If not- then allowed? Can child still sit w/mom after takeoff?"
positive,@united thanks for listening! I definitely was not the only person in line who thought it was absurd.
negative,@United We've been waiting on tarmac for &gt;1hr because apparently UA1116 is overweight &amp; we returned to gate. #WTF #fb
negative,"@united Thank you. Mention that before I boarded she asked 1other person to measure their bag, and it was another woman. Men not asked."
negative,@united Can't leave the Tarmac ..united's gate agent cannot agree on a head count. 20 min now counting a 100 people max #epicfailunited
negative,@united That's real dedication &amp; concern. Your apologies don't fix the issue nor any of the miserable issues I've had over the past 6 mos.
negative,@United blocked me from DM'ing them because they would rather I complain about them in a public forum
positive,@united ok. I just submitted. Thanks for the opportunity to give feedback.
positive,@united Big thanks to Ms. Winston for assisting me over the phone with a baggage claim issue today. She really went the extra mile!
positive,"@united I will, as soon as I am done with my article.  Thanks!  ~Tom"
negative,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.
negative,@united We've had a ton of problems with getting our bags and have been given the run around for a day. Whats up with that?
negative,@united pedophile airline. Split myself and my 10 yr old daughter rows apart on flight 1254 to boston
negative,@united have been waiting 2 days for my military bags from an airport 3 hours away from me. Horrible.
negative,"@united Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out."
negative,@united is doing musicians real dirty at LAX. I've never been blocked from getting on a flight with my bass.
negative,"@united I'm rebooked now, but the line was 300 people deep."
neutral,.@united For those playing along at home: http://t.co/2b4bDTldX2
negative,"@united @FlyEIA yes, they said it took more than an hour!"
negative,@united those whose pay to actually fly with you over 30k/ year deserve better service than a CC holder.
positive,@united Ok thank again for your help!
negative,@united Not a happy flyer.  UA flight 1161 from SFO to Cleveland.  Sunday 2/22.  Stay tuned for blog article from http://t.co/VdFdODqVGx
neutral,Thanks @united. @imran_r44 had a question about the wait time for baggage on UA6366
positive,@united flight 1491...plane from SFO to DEN is basically on time.
positive,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.
negative,@united 20 min more delays to flt 2086 at sfo 2 load 2 more pax makes no sense. Will strand many of us overnight at ORD due to missed cnxns
negative,"@united Heads up We didn't check 8 bags, 2 we checked arrived, those aren't claim #s for our 2. Other people's bags? http://t.co/dplQ3mhQGD"
negative,"@united This must be a drone “@united: @KeamBleam We understand your frustration. Our Bag team is working hard to get your bag(s) to you..."""
negative,"@united Change made in just over 3 hours. For something that should have taken seconds online, I am not thrilled. Loved the agent, though."
negative,@united flight attendant doesn’t understand not understanding English doesn’t mean they are deaf. Stop yelling English slowly to them.
negative,"@united Not appropriate to ask in public (hence the dm). each united employee, each a new answer. your process was such a hassle i Cancelled Flighted."
negative,@united well that's big of you but I don't have terribly high expectations at this point.
negative,@united it's like you're trying to make me hate your airline. Fee for each checked bag that's never mentioned in the ticket + rude agents 👿
negative,"@united nice your app says US 4972 delayed by weather.  Pilot says waiting on fuel.  One in ur control, one not"
positive,@united Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight. She did the work.  Huge thanks.
negative,"@united Ok thank you, do you provide complimentary hotel accommodations since I'll have to stay overnight?"
negative,@united I was originally trying to share details but the link Jimmy Samartzis Vice President - Customer Experience sent me expired.
negative,"@united really? 3 hr delay, 4 gate changes, &amp; you boarded us, sent us back up, &amp; boarded us again.  Won't change our flight. Can we go now?"
positive,"@united that would help! or how about integrate it into the App so I can just ""activate"" it and surf..."
negative,@united I did. The AC went on for about 20 minutes before returning to the Mojave Desert. #PressureCooker #HeatTrap
negative,@united Nope - still no one helped me.  Giving up on united. #badservice
neutral,"@united 8602947, jon at http://t.co/58tuTgli0D, thanks."
negative,@united when an airline causes the missed connection u would think they would take whatever steps to remedy that screw up.
negative,@united I'd thank you - but you didn't help.  taking 6 hours to reply (so I get a message in the middle of the night) isn't actually helpful
negative,@united Flight UA1270 is descending into farce and we haven't left EWR yet. Is this going to get any worse?
negative,"@united I was told it was due to be on UA23 which flies direct to Dublin, so why did it go to London? This is a complete shambles!"
negative,@united 45+ min at EWR baggage claim #stillnobags #ridiculous
neutral,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land! Do you have the cute PJs AA does? @united
neutral,But I don't see AA @united
neutral,@united Did you find out where it is? Thanks
negative,"@united On a standby to Denver, which has been delayed, and a confirmed to Aspen, whose flights have been Cancelled Flighted all day. 0 confidence."
negative,@united yes at 2am...but now back on a plane again and delayed again due to baggage loading issue... http://t.co/NfAQHhr09j
negative,@united at what pt do u just Cancelled Flight!  Finally got stndby 4 1pm flight. What a day!  #missedWork #clientNotHappy http://t.co/sUPrLfOi8T
positive,@united thank YOU for your kindness. Your agents went above &amp; beyond to get my stranded family home.
negative,@united don't see a justifiable cost to get on an early flight with seats. No airline charges to conveniently get their passengers in early
negative,@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option
negative,"@united I will do delayed baggage claim when I land. Hopefully the bag isn't broken into, damaged or lost w/c will result in more complaints"
negative,"@united done. Want me to send a screen shot of the second call, which is now at over 45 minutes?"
positive,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE
negative,@united Thanks! I'll fill up the form as soon as I land. I don't like being duped so I hope you will appreciate my feedback &amp; will be better
negative,"@united, this is the line in Denver to rebook due to weather issues. DO BETTER. http://t.co/tmccExYaaQ"
negative,"@United the ones who suffer. I understand delays, I don't understand trying speed up a process that has been delays to this extent."
negative,"@united 2 Cancelled Flighted flights Late Flightr, agent claimed she put me on a new flight but then Cancelled Flighted it. Coworker got on flight- now delayed. Now?"
negative,"@United of urgency, but this is ridiculous. Your ceo claims to be customer focused, yet when delays happen, planes sit and customers are"
negative,@united I wasn't asking for a full refund but delaying me 3 hours and giving no reason should be enough to give partial credit
negative,"@United flight was scheduled for 11:56, it's 1:05 and we haven't moved. I have never been on a flight where everyone moved without a sense"
positive,@united ok thx!
neutral,@united I can't DM you so here's the confirmation # G8CVWJ - please is there any way I can make it to Kailua tonight? Thank you
negative,@united go to hell
negative,"@united since bulkhead seats cannot have bags on floor, why don't u reserve o/head space above those seats? In 1B on UA246 - not impressed"
neutral,@united Definitely will!
negative,@united Would be helpful if you could refresh boarding time info on boarding passes for delayed flights
negative,"@united  18 flights so far this year. 13 delays including 2 Cancelled Flightations.  Late Flightst reason, crew needed mandatory sleep. IN MEXICO!"
positive,@united great to hear Thankyou so much. Greatly appreciate your replies. Feel much more settled now.
positive,@united counter agents at RDU deserve a medal. #thankyou
negative,The saga of the @MelissaAFrancis bag delay w/ @United - will there be a reunion or will she be forced to go shopping? Stay tuned.
negative,@united Flight 211/ORD gate agent tried to prevent me from taking onboard a bag I've used for 15 years! Flight crew was more reasonable!
positive,@united thank you. Literally called for preboarding as I ran up.
negative,@united why do you guys split up the charges to credit cards? Making it unnecessarily more expensive for people to fly with you guys on pts
negative,"@united it was UA381 on 14 Feb. Point is, overselling flights= bad. Making people wait 1hr while you kick them off after boarding is worse"
positive,@united that's brilliant Thankyou so much. Is it classed as part of carryon?
neutral,@united what gate is ua5396 leaving from?
positive,@united thank you for listening to my compliant and doing the right thing. I appreciate you working with me
negative,@united we've been here since 3am and you've Cancelled Flightled our flight twice
negative,@united no chance I wait in ORD all afternoon for another flight after you screwed me. Hold 5396
negative,@united UA5396 can wait for me. I'm on the ground trying to get to the gate after we were moved to B. This is crap.
negative,@united from MEX NRT (dates TBD) but I'm getting a 200 to 300 USD difference in my quotations through September when compared to MEX BKK
neutral,@united fails again. @SouthwestAir saves the day.
negative,@united better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight
negative,@united is there a United gold number? I've been on hold 24 minutes and think I may be lost in nowhereland. Have a gold reservation. Help.
positive,@united Great! I'm ready to go home.
positive,@united wow you even answered back!  Awesome! @AmericanAir @USAirways That's customer service!!! #usairwaysfail
neutral,@united. It's not my first time flying to the US. I have medical info. Looking for practical like my adapted seat cushion allowed on?
negative,@united noooooooooooooooooooooope.
negative,"@united Oh, we are sure it's not planned, but it occurs absolutely consistently, it's usually the only YYJ flight that's Cancelled Flightled daily."
positive,@united @JMS2802 : outsource it all United Airlines...your customers  are just loving you for it. Outsource. Outsource. Outsource.
neutral,"@united Hi, Im flying SFO-LAX-SAL-CLO. My connecting time in LAX is 1h45m. Is it enough time? Do I have to collect my bag and recheck on AV?"
positive,@united Thank you! You need to follow back tho otherwise I can't DM you. X
negative,"@united it's not getting any better. I'd suggest you get a senior manager to this gate , then retrain these gate people"
neutral,"@United States faundation was by faith Judeo Cristian,@Not it was by ideologias.@ http://t.co/mWBk68k0A3"
negative,@united @JMS2802 : nothing like supporting your own mechanics and maintenance workers...instead United puts out a video of TIMCO doing wifi.
positive,@united Just sent! Thanks :)
negative,@united already missed  connection ugh
negative,"@united @JMS2802 : sure show a video of your outsourced favorite TIMCO, who has a knack for doing substandard maintenance work on aircraft."
negative,@united How do I formally complain about your customer service handler who misconnected me. I was denied boarding &amp; I now lost my bag. Help!
negative,@united there are a lot of unhappy cold people on the bridge in freezing temps for an hour. Not given any info.
negative,@united flight 3763 IAd-Sat. We're on the outdoor track for an hour
negative,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline w/out WiFi...and pls no 'unwind' BS.
negative,@united u would not be able to rebook me to get home any sooner than a now 2hr delayed flight.  #linesforever #customerservice #fail #again
negative,@united you're the reason this whole travel experience has been a nightmare
negative,@united what a pointless tweet. At least @AmericanAir asked me to follow them to try and resolve
negative,@united that's not even an apology
negative,@united that's cool - now what?
negative,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline without WiFi...
negative,"@united, b4 boarding this attendant took his shoe &amp;sock off at the desk and showed other agents his foot. So gross. http://t.co/755VpYm4Mv"
neutral,@United are you able to see if there are seats open on another flight??
negative,@united #unitedairlines so is it 6:20 pm or 12:20?   ORD ABQ 3709.   I can't even take a walk without missing a change.
negative,"@united Hopefully my baggage fees will be waived tomorrow when I actually get on a flight, as well as compensation for my hotel room"
negative,"@united Either is fine. However, plundering my hard-earned dollars is not fine."
neutral,@united @retailbagholder hahaha. At least they gave u a refund.
negative,"@united your SFO-YYJ fight is Cancelled Flightled several times each week, why even bother?"
negative,"@united, and now while waiting for new pilot the door on plane BROKE. why am I global services status  on an airline that's unsafe? STUNNING"
negative,@united How do I get reimbursed for hotel and taxis for the Cancelled Flightation?
negative,"@united Awesome flight crew on UA1589, re the plane,  the  Jurassic period called and they want their dinosaur/plane back!"
negative,"@united In 2015, United is ""unable"" to look up a flight reservation by passenger name at the YYZ check-in counter - WOW smh #customerservice"
negative,"@united e-ticket # 0162389030167, refund request # 16866853, case id # 8465981"
negative,@united been on the phone for over an hour with customer service and they can't figure it out! awesome service... NOT!
negative,"@united
You really know how to piss people off. Your Farelock option is fake!"
negative,"@united, last week shanghai to sfo 858 delay 5hrs bc of engine. today sfo-sea delay to ""sick pilot"". no compensation. They Do. Not. Care."
negative,@united only thing confusing me is why I lost priority boarding? I'm a mileage plus card member 😔
negative,@united We're hoping to hear from you actually.
negative,"@united shes been rescheduled for today, but with the frigid cold, being a possible reason for ""maintenance"" it could be the same issue 2day"
negative,"@united It's the fact that an international should not be with out her bag and no sense of what's going on other than ""maintenance""."
negative,"@united b) I contacted you directly, and the phone service was Laissez Faire at best.  The problem isn't a Cancelled Flightled a flight."
negative,"@united a) she's an international. Her phone is on the fritz, I had to get to Chicago from nearly 4 hrs away to figure everything out."
negative,"@united sorry for the delayed response. It was UA #381 Chicago to San Fran. Held up for almost an hour on the Tarmac. Also, lost my bags"
negative,@united Okay thanks if you could please update me. I was told at the airport someone would call me today but they haven't.
positive,@united thank you very much for the help. We're do I pick up my bags aspen airport &amp; are they coming in today on flight911
negative,@united gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi
negative,"@united I'd say most of the public can't extend their vacation a week, point is why advertise multiple flights you can't honor?"
negative,"@united Cancelled Flights flt from EWR. ""No crew"".Tells wife &amp; 4 yr old to ""get to NY to catch @AirCanada"" to YYZ! Good #customerservice is dead."
negative,"@united Now arriving a day and a half Late Flightr than supposed to. Lesson of the day, don't believe verbal or written confirmations from United"
neutral,@united BUT you have received confirmation via email that you are confirmed and ticketed on this flight.
negative,@united Arriving at the airport 2 hours before departure time and still missing your flight bc you actually don't have an electronic ticket
negative,@united 1.75 hour delay.  Nothing says sorry like a voucher.  Missing time with family.  #family #precioustime
neutral,"@united After speaking to a United customer service rep the night before a flight, confirming that everything is ok with your reservation.."
negative,@United has two whole people trying to schedule a flight's worth of missed connections. Shameful http://t.co/6kqLhVaP7G
negative,"@united is unfriendly screw family, that hates kids and moms. now waiting on  UA871... pray its better FYVRFN ..due to agent error and tickt"
negative,"@united  gate agent at EWR "" if you are disabled or in a wheel chair, it's time to board, please step"". STEP UP??? Lol"
negative,@united it won't help...been there done that.
negative,@united forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby.. united has no baby meals
positive,@united would love help getting there today. In #EWR now. Will take any airline and connections. Thx
